ExecTime	TransNo	Weight,%	Percent
165	230152	23.02	23.02
170	182694	18.27	41.28
175	181139	18.11	59.4
180	109069	10.91	70.31
185	50032	5.0	75.31
190	47673	4.77	80.08
195	27672	2.77	82.84
200	27096	2.71	85.55
205	20721	2.07	87.62
210	19982	2.0	89.62
215	19581	1.96	91.58
220	13971	1.4	92.98
225	11818	1.18	94.16
230	9764	0.98	95.14
235	9605	0.96	96.1
240	6554	0.66	96.75
245	6147	0.61	97.37
250	5675	0.57	97.93
255	5097	0.51	98.44
260	4724	0.47	98.92
265	3863	0.39	99.3
270	2257	0.23	99.53
275	752	0.08	99.6
280	291	0.03	99.63
285	263	0.03	99.66
290	258	0.03	99.68
295	237	0.02	99.71
300	236	0.02	99.73
305	228	0.02	99.76
310	205	0.02	99.78
315	136	0.01	99.79
320	135	0.01	99.8
325	104	0.01	99.81
330	104	0.01	99.82
335	100	0.01	99.83
340	92	0.01	99.84
355	88	0.01	99.85
360	88	0.01	99.86
375	86	0.01	99.87
380	86	0.01	99.88
385	79	0.01	99.89
390	79	0.01	99.89
395	73	0.01	99.9
400	68	0.01	99.91
405	66	0.01	99.91
410	65	0.01	99.92
415	62	0.01	99.93
420	61	0.01	99.93
425	59	0.01	99.94
430	57	0.01	99.94
435	56	0.01	99.95
440	51	0.01	99.96
445	49	0.0	99.96
450	47	0.0	99.96
455	47	0.0	99.97
460	44	0.0	99.97
465	32	0.0	99.98
470	31	0.0	99.98
475	27	0.0	99.98
480	27	0.0	99.99
485	25	0.0	99.99
490	17	0.0	99.99
495	15	0.0	99.99
500	12	0.0	99.99
505	6	0.0	99.99
510	6	0.0	99.99
515	5	0.0	99.99
520	5	0.0	99.99
525	5	0.0	100.0
530	4	0.0	100.0
535	3	0.0	100.0
540	3	0.0	100.0
545	2	0.0	100.0
550	2	0.0	100.0
555	2	0.0	100.0
670	2	0.0	100.0
865	1	0.0	100.0
1000	1	0.0	100.0
1005	1	0.0	100.0
1010	1	0.0	100.0
1015	1	0.0	100.0
1065	1	0.0	100.0
1070	1	0.0	100.0
1085	1	0.0	100.0
1090	1	0.0	100.0
1095	1	0.0	100.0
1180	1	0.0	100.0
1245	1	0.0	100.0
1255	1	0.0	100.0
1285	1	0.0	100.0
1290	1	0.0	100.0
1295	1	0.0	100.0
1385	1	0.0	100.0
1460	1	0.0	100.0
1475	1	0.0	100.0
1550	1	0.0	100.0
1605	1	0.0	100.0
1685	1	0.0	100.0
1845	1	0.0	100.0
4455	1	0.0	100.0
5585	1	0.0	100.0
6245	1	0.0	100.0
6530	1	0.0	100.0
7065	1	0.0	100.0
7480	1	0.0	100.0
7835	1	0.0	100.0
16460	1	0.0	100.0
